<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20110401;000000;1440;1440;1416.5;1430.7;45923
20110404;000000;1432;1442.59998;1432;1437.8;22528
20110405;000000;1438;1459.9;1433.8;1459.3;39855
20110406;000000;1458.3;1466.2;1456.7;1464.5;31880
20110407;000000;1462;1468.8;1456.7;1463.6;32446
20110408;000000;1463.9;1481.7;1463.9;1478;138476
20110411;000000;1472.1;1478.8;1462.7;1466.2;77674
20110412;000000;1463;1470.7;1447.3;1456;50562
20110413;000000;1456.9;1465.6;1454.8;1460.6;20926
20110414;000000;1462.5;1477.9;1455.9;1477.5;42122
20110415;000000;1477.5;1492.5;1475.1;1490.1;29248
20110418;000000;1489.1;1505;1480.7;1499.8;44727
20110419;000000;1499.5;1503.2;1493;1500.8;22959
20110420;000000;1502;1511.7;1498.1;1505.4;47372
20110421;000000;1506.8;1513.3;1504.1;1509.8;34522
20110422;000000;1509.9;1513.9;1508.2;1510.5;2052
20110425;000000;1512.3;1522.4;1505.6;1512.8;33486
20110426;000000;1512;1512;1495.6;1503.8;20566
20110427;000000;1507;1533.7;1505.9;1532;41538
20110428;000000;1533.5;1544;1526.8;1539;50481
20110429;000000;1536.5;1572.4;1535.3;1562.8;39845
20110503;000000;1560.1;1560.1;1520;1536.6;66802
20110504;000000;1536.7;1545.5;1507.6;1516.6;65616
20110505;000000;1516.8;1522.5;1464.1;1475.4;82918
20110506;000000;1479.5;1499.3;1476.1;1493.6;68816
20110510;000000;1493.6;1523.8;1493.6;1518.8;43403
20110511;000000;1520.6;1528.7;1497.2;1506.9;60823
20110512;000000;1502.3;1519;1479.7;1504.9;68482
20110513;000000;1508.7;1518.3;1484.9;1495.8;44428
20110516;000000;1492;1509.7;1485.6;1501;38157
20110517;000000;1501;1501;1471.2;1485;58920
20110518;000000;1486;1504;1486;1496.5;56407
20110519;000000;1495.4;1499.6;1486.2;1497.1;28046
20110520;000000;1499;1519.7;1489.6;1517.6;55555
20110523;000000;1515;1523;1506.6;1520.2;46106
20110524;000000;1520;1530.4;1519.4;1526.7;43758
20110525;000000;1526;1535.1;1523.5;1527.7;30445
20110526;000000;1528.3;1533.7;1516.7;1523.9;54824
20110527;000000;1525;1540.6;1525;1538;31072
20110530;000000;1538;1542.4;1536.7;1542.4;9364
20110531;000000;1540;1542.9;1534.3;1538.1;30129
20110601;000000;1536;1553.4;1531.8;1540.5;34753
20110602;000000;1540.2;1547;1515.6;1535.7;60281
20110603;000000;1535;1549.4;1526.4;1544.1;64043
20110606;000000;1547.5;1554.8;1542.5;1545.1;32910
20110607;000000;1548;1551.5;1538;1549.5;23434
20110608;000000;1547;1549;1532;1538.7;25422
20110609;000000;1537.6;1551.2;1534.3;1546;27578
20110610;000000;1547.5;1550.3;1531;1536;10329
20110614;000000;1530;1532.9;1518.2;1531.6;27238
20110615;000000;1536;1548;1520.1;1538.4;52812
20110616;000000;1535;1538.4;1526.7;1534.5;36648
20110617;000000;1532.3;1547.5;1527.8;1544.2;27436
20110620;000000;1544;1552.4;1538.5;1546.2;33062
20110621;000000;1548;1553.5;1546;1552;27780
20110622;000000;1552;1562;1537;1554.3;59187
20110623;000000;1552;1552;1517.6;1526;98384
20110624;000000;1525.7;1528.40002;1466.5;1501;101897
20110627;000000;1504.4;1506.8;1494.2;1499.8;50827
20110628;000000;1500.9;1515;1499.7;1504;34133
20110629;000000;1505;1517.7;1505;1515.3;43016
20110630;000000;1515.4;1517.3;1503;1504.3;41918
20110701;000000;1505;1505;1482.6;1491.6;55478
20110704;000000;1495;1502;1495;1500.7;9676
20110705;000000;1500.7;1520.5;1496.7;1519.3;26226
20110706;000000;1519.2;1538.1;1514.7;1533.7;36024
20110707;000000;1533.7;1539.3;1526.9;1535.8;21457
20110708;000000;1536.5;1550.1;1529.3;1548;25482
20110711;000000;1549;1561.6;1546.5;1556.8;33488
20110712;000000;1556;1578;1545;1571.7;60363
20110713;000000;1571.4;1593;1570.5;1584.6;71219
20110714;000000;1586.5;1599.4;1586.1;1591;48892
20110715;000000;1588;1597.4;1580.1;1596.3;23289
20110718;000000;1597.8;1612.3;1597.8;1608.5;35240
20110719;000000;1609.7;1613.8;1587.2;1591;56011
20110720;000000;1592.9;1604.6;1584.8;1602.2;32064
20110721;000000;1603.2;1608.8;1587.2;1595.9;85067
20110722;000000;1595.4;1613.4;1588.4;1606.3;71128
20110725;000000;1608.4;1624.4;1608.4;1618.1;71463
20110726;000000;1616.7;1623.3;1612;1622.6;32960
20110727;000000;1624;1631.8;1612;1616.4;23543
20110728;000000;1617.6;1623.7;1606.8;1617.8;44307
20110729;000000;1615;1636;1613.4;1628.1;27300
20110801;000000;1626.5;1635;1601.1;1622.2;44363
20110802;000000;1625.9;1658.7;1625.9;1657;60301
20110803;000000;1657;1676.4;1657;1663.4;77634
20110804;000000;1662;1684.1;1641;1648.3;82473
20110805;000000;1653;1672;1645;1659.5;72091
20110808;000000;1665;1730;1665;1717.4;55916
20110809;000000;1718;1795;1715.6;1739.1;88962
20110810;000000;1744.3;1810.5;1739;1789.2;87832
20110811;000000;1791;1799.4;1735;1752.2;80969
20110812;000000;1753.2;1771;1727.2;1744;39291
20110815;000000;1746;1771.5;1735.6;1769.1;31535
20110816;000000;1769.6;1791.4;1767.7;1790.2;55958
20110817;000000;1790.2;1800.3;1781.2;1797;47899
20110818;000000;1799;1834.5;1796.7;1829.5;73291
20110819;000000;1837.2;1882.7;1837.2;1853;72534
20110822;000000;1859.5;1900;1859.5;1898.7;58402
20110823;000000;1900;1908;1826;1830;98235
20110824;000000;1838.5;1858.7;1755.2;1769;100154
20110825;000000;1763.1;1774.5;1707.1;1773.8;92932
20110826;000000;1774.9;1825;1767.1;1820.5;102739
20110829;000000;1820;1826.8;1775;1792.3;102895
20110830;000000;1794;1850;1787.3;1842;73962
20110831;000000;1842;1848;1815;1829;47132
20110901;000000;1826;1834;1817;1827.5;27040
20110902;000000;1829;1887;1829;1883.80005;81385
20110905;000000;1885.90002;1909.90002;1878;1901.19995;52903
20110906;000000;1903.5;1924.40002;1857;1876.30005;166419
20110907;000000;1876.30005;1876.30005;1798.19995;1824.80005;118752
20110908;000000;1827;1878.5;1827;1874.5;79554
20110909;000000;1875.1;1891.2;1827.8;1857.5;145255
20110912;000000;1858.90002;1864.5;1811.4;1824.9;23587
20110913;000000;1825;1857;1805;1845.90002;19673
20110914;000000;1842;1847;1820;1827;46804
20110915;000000;1819;1827.5;1781.19995;1798;82943
20110916;000000;1794.80005;1830.5;1770;1816.19995;56212
20110919;000000;1820;1835.30005;1779.30005;1787.80005;70427
20110920;000000;1787.80005;1818.59998;1780.09998;1810;57515
20110921;000000;1815;1823.40002;1781.59998;1794.5;59681
20110922;000000;1787.19995;1787.19995;1729.69995;1742.69995;110016
20110923;000000;1742.40002;1757.09998;1637;1655;133574
20110926;000000;1645;1645;1546;1633.19995;163177
20110927;000000;1640;1683.40002;1640;1652;70468
20110928;000000;1651.30005;1675.69995;1601.59998;1612;69467
20110929;000000;1612.19995;1641.90002;1607.09998;1622;75587
20110930;000000;1625.59998;1639.80005;1608.59998;1622.80005;57292
20111003;000000;1629.59998;1672.69995;1629.59998;1659.09998;54110
20111004;000000;1662.5;1689.69995;1599.5;1620.40002;73323
20111005;000000;1622;1652;1603.19995;1647.19995;54028
20111006;000000;1649.5;1660.19995;1635;1655.5;45009
20111007;000000;1660;1669.90002;1631.19995;1641.80005;52027
20111010;000000;1648.09998;1684;1648.09998;1684;63917
20111011;000000;1684;1686;1658.09998;1672.40002;56597
20111012;000000;1671.59998;1697;1670;1685.09998;75096
20111013;000000;1681.69995;1685.80005;1656;1674;60275
20111014;000000;1674.5;1689.69995;1672.90002;1685.09998;35193
20111017;000000;1683.40002;1701.09998;1640;1675.90002;55246
20111018;000000;1675.69995;1676.69995;1630;1669.5;90761
20111019;000000;1669.30005;1669.30005;1644.30005;1647.69995;54999
20111020;000000;1645;1645;1607;1626.69995;60805
20111021;000000;1629;1654.40002;1625;1646.69995;56615
20111024;000000;1650;1666.5;1641.19995;1655;41148
20111025;000000;1655.69995;1718.90002;1652.19995;1707.40002;73252
20111026;000000;1715;1733.80005;1708.5;1726.69995;85984
20111027;000000;1729.90002;1758;1710.5;1748;60691
20111028;000000;1749.5;1753;1736.69995;1750.40002;48364
20111031;000000;1745;1745;1705.09998;1725.5;25974
20111101;000000;1727.69995;1749.90002;1688.90002;1729.69995;47892
20111102;000000;1730.19995;1751.59998;1721.09998;1743.90002;39634
20111103;000000;1742;1775;1729.80005;1771.90002;56109
20111107;000000;1774.80005;1803;1768.40002;1803;19481
20111108;000000;1802.59998;1810;1781.69995;1787.40002;25833
20111109;000000;1785.30005;1806.5;1773.19995;1780.30005;20103
20111110;000000;1776;1782.59998;1741.30005;1759.30005;22818
20111111;000000;1768;1793.80005;1767;1793.40002;17802
20111114;000000;1795;1799.69995;1780.59998;1785.5;13052
20111115;000000;1783;1794.69995;1765;1783.09998;19169
20111116;000000;1782;1786.40002;1760;1778.80005;26494
20111117;000000;1775.30005;1775.30005;1717.19995;1727;28917
20111118;000000;1728;1743.19995;1719;1732.19995;23124
20111121;000000;1732.19995;1732.19995;1671.30005;1688;41519
20111122;000000;1689;1713.09998;1688.59998;1705.19995;40410
20111123;000000;1705.30005;1717.40002;1682;1698;32566
20111124;000000;1699.90002;1708.5;1695.40002;1696;9389
20111125;000000;1695.40002;1708;1676.40002;1693;42168
20111128;000000;1694;1726;1694;1713.09998;38277
20111129;000000;1718;1725.40002;1707.59998;1723.59998;16812
20111130;000000;1725.5;1757.69995;1705.09998;1749.69995;65042
20111201;000000;1749.09998;1759.5;1736.30005;1746.80005;20083
20111202;000000;1747.80005;1765.59998;1740.90002;1751;22141
20111205;000000;1747.30005;1749.69995;1720.19995;1725.5;24033
20111206;000000;1722.30005;1733.30005;1704;1733.30005;23894
20111207;000000;1733.59998;1744.5;1721.5;1741.40002;23542
20111208;000000;1739.09998;1758.6;1705.3;1710.1;47790
20111209;000000;1712.8;1725.8;1705.7;1715.1;34767
20111212;000000;1720;1720;1667.09998;1677.80005;11774
20111213;000000;1673.80005;1686;1646.59998;1648;14590
20111214;000000;1648;1652.5;1574;1584.59998;40694
20111215;000000;1579.7;1610.9;1571.5;1576.6;57232
20111216;000000;1583.6;1614.8;1583.6;1604;41941
20111219;000000;1599;1617.9;1596.4;1601.1;17215
20111220;000000;1605.1;1627;1600.3;1624.9;21466
20111221;000000;1627.8;1650.8;1614.5;1620.6;39933
20111222;000000;1620;1624;1603.3;1613.6;22376
20111223;000000;1617.6;1622;1610;1612.5;13533
20111226;000000;1610.2;1613;1590.5;1602.8;3245
20111227;000000;1602.4;1609;1595.6;1600.1;7555
20111228;000000;1600;1600;1561.6;1563;28032
20111229;000000;1563.9;1564.8;1527.9;1551.2;37153
20111230;000000;1554.9;1588;1554.9;1571.9;22847
20120103;000000;1578.3;1613.8;1578.3;1611;18829
20120104;000000;1609;1624.2;1599.3;1618.5;29645
20120105;000000;1620;1631.7;1602.8;1628.4;28328
20120106;000000;1628.7;1636.9;1611.5;1623;35396
20120109;000000;1622;1628.9;1611.6;1613.2;12441
20120110;000000;1618;1646.4;1618;1639.6;22636
20120111;000000;1640.5;1653.2;1636;1644;20605
20120112;000000;1644.8;1669.2;1644.8;1654.5;29100
20120113;000000;1652;1656.9;1590;1642;18640
20120116;000000;1645.5;1653.7;1642;1653.3;6789
